,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
 [[Clostridium[gi|16929xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacter hormaechei subsp. steigerwaltii[gi|82927xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82932xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82933xxxx],1,1,1,1,1,1,0,1,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82935xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82936xxxx],0,0,0,0,0,1,1,1,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82937xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82938xxxx],1,1,1,1,1,1,0,1,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82939xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacter hormaechei subsp. steigerwaltii[gi|82940xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx],1,1,1,1,1,1,0,1,1,1,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82942xxxx],0,0,0,0,0,0,0,0,0,0,1
Enterobacter hormaechei subsp. steigerwaltii[gi|82944xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei[gi|28491xxxx],0,0,0,1,1,1,1,0,0,0,0
Enterobacter hormaechei[gi|77115xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei[gi|77124xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter hormaechei[gi|77125xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei[gi|77126xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei[gi|77127xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei[gi|77266xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacter hormaechei[gi|77269xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacter hormaechei[gi|77978xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacter hormaechei[gi|77982xxxx],0,0,0,0,0,0,0,0,0,1,0
Enterobacter hormaechei[gi|77987xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacter hormaechei[gi|78271xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter hormaechei[gi|79895xxxx],0,0,0,0,0,0,0,0,0,0,1
Enterobacter hormaechei[gi|82929xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter hormaechei[gi|83656xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacter hormaechei[gi|89587xxxx],0,0,0,0,0,0,0,0,0,0,1
Enterobacter hormaechei[gi|91912xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacter hormaechei[gi|91913xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterobacter kobei[gi|77096xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacter kobei[gi|77105xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter kobei[gi|77113xxxx],1,0,0,0,0,1,0,0,0,0,0
Enterobacter kobei[gi|77262xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacter kobei[gi|82286xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter kobei[gi|82920xxxx],0,1,0,0,0,0,0,0,0,1,1
Enterobacter kobei[gi|82924xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter kobei[gi|82927xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter kobei[gi|82939xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter kobei[gi|82944xxxx],0,1,0,0,0,0,0,0,0,1,1
Enterobacter ludwigii[gi|50538xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter ludwigii[gi|82945xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter ludwigii[gi|82993xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter ludwigii[gi|89593xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterobacter sp. Ag1[gi|39472xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. Ag1[gi|49573xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. Ag1[gi|73680xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. BIDMC 26[gi|57826xxxx],0,1,0,0,0,0,0,1,1,1,1
Enterobacter sp. BIDMC 26[gi|69575xxxx],0,0,0,0,0,0,0,1,0,0,1
Enterobacter sp. BIDMC 26[gi|91459xxxx],0,0,0,0,0,0,0,0,1,1,0
Enterobacter sp. BIDMC 27[gi|57826xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BIDMC 28[gi|57826xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BIDMC100[gi|83871xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BIDMC109[gi|83870xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BIDMC109[gi|85200xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacter sp. BIDMC87[gi|83867xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BIDMC94[gi|83868xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BIDMC99[gi|83868xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BWH 27[gi|61232xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter sp. BWH 37[gi|57827xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BWH 39[gi|57827xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. BWH 39[gi|57828xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BWH63[gi|83863xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BWH64[gi|83863xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. BWH64[gi|83864xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. Bisph1[gi|74575xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. DC3[gi|58424xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. DC4[gi|58425xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. E20[gi|94198xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 10[gi|57831xxxx],0,0,0,1,1,1,1,0,1,1,1
Enterobacter sp. MGH 11[gi|57830xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. MGH 11[gi|57831xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 12[gi|57829xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. MGH 12[gi|57830xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 14[gi|55020xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 15[gi|57829xxxx],0,0,0,1,1,1,1,0,1,1,1
Enterobacter sp. MGH 16[gi|55520xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacter sp. MGH 1[gi|57834xxxx],0,0,0,1,1,1,1,0,1,1,1
Enterobacter sp. MGH 22[gi|55518xxxx],0,1,0,1,0,0,0,0,0,0,0
Enterobacter sp. MGH 22[gi|55649xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterobacter sp. MGH 23[gi|55517xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 25[gi|55518xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 26[gi|55516xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 2[gi|57835xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 33[gi|57828xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 37[gi|57828xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 3[gi|57835xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 4[gi|57833xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 5[gi|57833xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 6[gi|57833xxxx],0,0,0,1,1,1,1,0,1,1,1
Enterobacter sp. MGH 7[gi|57831xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 7[gi|57832xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 8[gi|55021xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 9[gi|57831xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH 9[gi|57832xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter sp. MGH127[gi|83867xxxx],0,1,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH128[gi|83866xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH85[gi|83865xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. MGH86[gi|83866xxxx],0,0,0,0,0,0,0,0,1,1,1
Enterobacter sp. ZOR0014[gi|91762xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter[gi|55649xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacter[gi|64046xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter[gi|77984xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacter[gi|89587xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|44699xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|49109xxxx],0,0,0,0,1,0,0,0,0,0,0
Enterobacterales[gi|49517xxxx],0,0,0,0,0,0,0,0,0,1,1
Enterobacterales[gi|49609xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|49666xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|49948xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|50531xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|50633xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|51595xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacterales[gi|54482xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacterales[gi|55526xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|56613xxxx],0,0,0,0,0,0,0,0,1,0,1
Enterobacterales[gi|65734xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|66590xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacterales[gi|69406xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|69411xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|69562xxxx],0,0,0,0,0,0,0,0,0,1,0
Enterobacterales[gi|73692xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|73695xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|74920xxxx],0,1,0,0,0,0,0,0,0,1,0
Enterobacterales[gi|75493xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacterales[gi|81773xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacterales[gi|85196xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterobacterales[gi|93933xxxx],0,0,0,0,0,0,0,1,0,0,0
Enterobacteriaceae bacterium 9_2_54FAA[gi|31691xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae bacterium LSJC7[gi|64827xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|44617xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|44628xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacteriaceae[gi|44629xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacteriaceae[gi|44634xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacteriaceae[gi|44653xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|44658xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|44665xxxx],0,0,0,0,0,0,0,0,0,1,0
Enterobacteriaceae[gi|44683xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|44685xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|44698xxxx],0,0,0,0,0,0,0,1,0,0,0
Enterobacteriaceae[gi|44703xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacteriaceae[gi|44706xxxx],0,0,0,0,0,0,0,0,0,0,1
Enterobacteriaceae[gi|44707xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacteriaceae[gi|44712xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|48565xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|48577xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterobacteriaceae[gi|48581xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|48582xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|48583xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|48586xxxx],0,0,0,0,0,0,0,0,0,0,1
Enterobacteriaceae[gi|48618xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|48635xxxx],0,0,0,1,1,1,1,0,0,0,0
Enterobacteriaceae[gi|48993xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterobacteriaceae[gi|49021xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacteriaceae[gi|49023xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|49373xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|49958xxxx],0,0,0,0,0,0,0,0,1,1,0
Enterobacteriaceae[gi|50487xxxx],0,0,0,0,0,1,1,0,0,0,0
Enterobacteriaceae[gi|50539xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|50544xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterobacteriaceae[gi|50708xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacteriaceae[gi|51092xxxx],0,0,0,0,0,0,0,0,0,1,0
Enterobacteriaceae[gi|54528xxxx],0,0,0,0,0,0,0,0,1,0,0
Enterobacteriaceae[gi|55074xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|55396xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|55467xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|55637xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacteriaceae[gi|55642xxxx],0,0,1,0,1,0,0,1,0,0,0
Enterobacteriaceae[gi|55919xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacteriaceae[gi|58530xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|58531xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacteriaceae[gi|58536xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|65734xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|66202xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69294xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69295xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69297xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacteriaceae[gi|69315xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69409xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69572xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69573xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacteriaceae[gi|69574xxxx],0,1,0,0,0,0,0,0,0,0,1
Enterobacteriaceae[gi|69576xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69581xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|69582xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|74060xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|74294xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|74955xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|75483xxxx],0,0,0,0,0,1,1,0,0,0,0
Enterobacteriaceae[gi|75716xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|75769xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|75770xxxx],0,0,0,0,0,1,1,0,0,0,0
Enterobacteriaceae[gi|76440xxxx],0,0,0,1,1,0,1,0,0,0,0
Enterobacteriaceae[gi|76540xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|77262xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|78271xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|78272xxxx],0,0,0,0,0,0,0,0,1,1,0
Enterobacteriaceae[gi|81710xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacteriaceae[gi|82701xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterobacteriaceae[gi|85196xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|85197xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|89600xxxx],0,1,0,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|89624xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterobacteriaceae[gi|91016xxxx],0,0,0,0,0,1,0,0,0,0,0
Enterobacteriaceae[gi|91345xxxx],0,0,1,0,0,0,0,0,0,0,0
Enterobacteriaceae[gi|92200xxxx],0,0,0,0,0,1,1,0,0,0,0
Enterococcus faecalis EnGen0066[gi|48713xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecalis EnGen0249[gi|48689xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecalis EnGen0284[gi|48699xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecalis EnGen0414[gi|57363xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecalis[gi|49839xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecalis[gi|64297xxxx],0,0,0,0,0,0,1,0,0,0,0
"Enterococcus faecium 1,231,502[gi|25781xxxx]",0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium 515[gi|40301xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium Aus0085[gi|52920xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium C621[gi|40300xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium E1679[gi|29159xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium E422[gi|40299xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium ERV102[gi|40298xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium ERV165[gi|40298xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium ERV168[gi|40298xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium ERV26[gi|40297xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium ERV38[gi|40297xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium ERV69[gi|40296xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0002[gi|43053xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0046[gi|43063xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0054[gi|43062xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0166[gi|48665xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0170[gi|48666xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0171[gi|48666xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0172[gi|48732xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0179[gi|48668xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0193[gi|48730xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0256[gi|48732xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0258[gi|48728xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0265[gi|48683xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium EnGen0372[gi|48708xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium P1140[gi|40295xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium P1190[gi|40294xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium R446[gi|40294xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium R496[gi|40292xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium R501[gi|40291xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium S447[gi|40292xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium U0317[gi|29159xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium[gi|49841xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus faecium[gi|49842xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterococcus[gi|48823xxxx],0,0,0,0,0,0,1,0,0,0,0
Enterorhabdus caecimuris B7[gi|50779xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterorhabdus caecimuris[gi|51106xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterorhabdus mucosicola[gi|65455xxxx],1,0,0,0,0,0,0,0,0,0,0
Enterovibrio calviensis[gi|65455xxxx],0,0,0,1,0,0,0,0,0,0,0
Enterovibrio norvegicus[gi|51557xxxx],0,0,1,0,0,0,0,0,0,0,0
Erwinia amylovora 01SFR-BO[gi|47871xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora ACW56400[gi|42627xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora ATCC 49946[gi|29120xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora ATCC BAA-2158[gi|31217xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora CFBP 1232[gi|47871xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora CFBP 2585[gi|47824xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora CFBP 2585[gi|47871xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora CFBP1430[gi|29155xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora Ea266[gi|47870xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora Ea356[gi|47870xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora Ea644[gi|47872xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora LA635[gi|56542xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora LA636[gi|56545xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora LA637[gi|56669xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora MR1[gi|47872xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora NBRC 12687[gi|63555xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora UPN527[gi|47872xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia amylovora[gi|49025xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia billingiae Eb661[gi|29906xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia billingiae[gi|50296xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia billingiae[gi|92119xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia mallotivora[gi|73693xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia piriflorinigrans CFBP 5888[gi|56010xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia piriflorinigrans[gi|56274xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia pyrifoliae DSM 12163[gi|28347xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia pyrifoliae Ep1/96[gi|22496xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia pyrifoliae[gi|50190xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia sp. 9145[gi|73692xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia sp. Ejp617[gi|31076xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia sp. Ejp617[gi|50435xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia sp. Leaf53[gi|94471xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia sp. OLMDLW33[gi|89117xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia tasmaniensis Et1/99[gi|18802xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia tasmaniensis[gi|50140xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia toletana[gi|51641xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia toletana[gi|64842xxxx],0,1,0,0,0,0,0,0,0,0,0
Erwinia typographi[gi|71279xxxx],0,0,0,0,0,1,0,0,0,0,0
Erwinia typographi[gi|91752xxxx],0,0,0,0,0,1,0,0,0,0,0
Erysipelotrichaceae bacterium 21_3[gi|37165xxxx],0,1,0,0,0,0,0,0,0,0,0
Erysipelotrichaceae bacterium 21_3[gi|49656xxxx],0,1,0,0,0,0,0,0,0,0,0
Erythrobacter citreus LAMA 915[gi|91075xxxx],0,1,0,0,0,0,0,0,0,0,0
Erythrobacter litoralis HTCC2594[gi|8478xxxx],0,0,0,0,1,1,0,0,0,0,0
Erythrobacter litoralis[gi|49973xxxx],0,0,0,0,1,1,0,0,0,0,0
Erythrobacter sp. SD-21[gi|14882xxxx],0,0,0,0,1,1,0,0,0,0,0
Erythrobacter sp. SD-21[gi|49388xxxx],0,0,0,0,1,0,0,0,0,0,0
Escherichia coli 08BKT77219[gi|53702xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-110-08_S3_C1[gi|59871xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-110-08_S3_C2[gi|59871xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-110-08_S3_C3[gi|59870xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-182-04_S4_C1[gi|61105xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-182-04_S4_C2[gi|61103xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-182-04_S4_C3[gi|61101xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-250-04_S3_C1[gi|61108xxxx],0,1,1,0,0,0,0,1,1,1,1
Escherichia coli 1-250-04_S4_C1[gi|61105xxxx],0,1,0,0,0,0,0,0,0,0,0
Escherichia coli 1-250-04_S4_C2[gi|61104xxxx],0,1,0,0,0,0,0,0,0,0,0
